# KIC   dateobs      eclipse?    filter    filename[-15:]
#
3955867 2456785.85794 No  B 140508.123.fits
3955867 2456785.86124 No  V 140508.124.fits
3955867 2456785.86315 No  R 140508.125.fits
3955867 2456785.86433 No  I 140508.126.fits
3955867 2456795.7655 Sec B 140518.070.fits
3955867 2456795.76889 Sec V 140518.071.fits
3955867 2456795.77095 Sec R 140518.072.fits
3955867 2456795.772 Sec I 140518.073.fits
3955867 2456795.7733 Sec B 140518.074.fits
3955867 2456795.77662 Sec V 140518.075.fits
3955867 2456795.77861 Sec R 140518.076.fits
3955867 2456795.77974 Sec I 140518.077.fits
3955867 2456795.78122 Sec B 140518.078.fits
3955867 2456795.78459 Sec V 140518.079.fits
3955867 2456795.78664 Sec R 140518.080.fits
3955867 2456795.78783 Sec I 140518.081.fits
3955867 2456795.8761 Sec B 140518.165.fits
3955867 2456795.87953 Sec V 140518.166.fits
3955867 2456795.88155 Sec R 140518.167.fits
3955867 2456795.88276 Sec I 140518.168.fits
3955867 2456795.88423 Sec B 140518.169.fits
3955867 2456795.88795 Sec V 140518.170.fits
3955867 2456795.89001 Sec R 140518.171.fits
3955867 2456795.89112 Sec I 140518.172.fits
3955867 2456795.89253 Sec B 140518.173.fits
3955867 2456795.89592 Sec V 140518.174.fits
3955867 2456795.89789 Sec R 140518.175.fits
3955867 2456795.89904 Sec I 140518.176.fits
3955867 2457148.78912 Pri B 150506.058.fits
3955867 2457148.79244 Pri V 150506.059.fits
3955867 2457148.7943 Pri R 150506.060.fits
3955867 2457148.79537 Pri I 150506.061.fits
3955867 2457148.79668 Pri B 150506.062.fits
3955867 2457148.79998 Pri V 150506.063.fits
3955867 2457148.80188 Pri R 150506.064.fits
3955867 2457148.80303 Pri I 150506.065.fits
3955867 2457148.80431 Pri B 150506.066.fits
3955867 2457148.80762 Pri V 150506.067.fits
3955867 2457148.80949 Pri R 150506.068.fits
3955867 2457148.81054 Pri I 150506.069.fits
3955867 2457148.81214 Pri B 150506.070.fits
3955867 2457148.81547 Pri V 150506.071.fits
3955867 2457148.81739 Pri R 150506.072.fits
3955867 2457148.81848 Pri I 150506.073.fits
3955867 2457148.81978 Pri B 150506.074.fits
3955867 2457148.82311 Pri V 150506.075.fits
3955867 2457148.82503 Pri R 150506.076.fits
3955867 2457148.82608 Pri I 150506.077.fits
3955867 2457148.82735 Pri B 150506.078.fits
3955867 2457148.8306 Pri V 150506.079.fits
3955867 2457148.83253 Pri R 150506.080.fits
3955867 2457148.8336 Pri I 150506.081.fits
3955867 2457148.83523 Pri B 150506.082.fits
3955867 2457148.83858 Pri V 150506.083.fits
3955867 2457148.84051 Pri R 150506.084.fits
3955867 2457148.8416 Pri I 150506.085.fits
3955867 2457148.84292 Pri B 150506.086.fits
3955867 2457148.84625 Pri V 150506.087.fits
3955867 2457148.84816 Pri R 150506.088.fits
3955867 2457148.84925 Pri I 150506.089.fits
3955867 2457148.85055 Pri B 150506.090.fits
3955867 2457148.85388 Pri V 150506.091.fits
3955867 2457148.85585 Pri R 150506.092.fits
3955867 2457148.85692 Pri I 150506.093.fits
3955867 2457148.85851 Pri B 150506.094.fits
3955867 2457148.86187 Pri V 150506.095.fits
3955867 2457148.8638 Pri R 150506.096.fits
